customer_id,first_name,last_name,email,phone,date_of_birth,segment,geo_id,tenure_months,contact_pref,marketing_opt_in
CUST000026,Matthew,Lester,matthew.lester329@example.com,586-629-6194,1988-04-08,Consumer,GEO000045,6,email,True
CUST000027,Christopher,Smith,christopher.smith392@example.com,311-426-2655,1969-08-04,Consumer,GEO000047,0,phone,True
CUST000028,Colin,Garrison,colin.garrison889@example.com,110-475-4121,1977-12-10,SmallBusiness,GEO000003,31,phone,False
CUST000029,Melanie,Thomas,melanie.thomas33@example.com,267-888-6101,1949-12-02,Consumer,GEO000013,31,phone,True
CUST000030,Cassandra,Anderson,cassandra.anderson525@example.com,581-995-6046,1948-05-29,Consumer,GEO000023,41,email,True
CUST000031,Lindsay,King,lindsay.king116@example.com,618-398-2622,1970-05-07,Consumer,GEO000044,0,sms,True
CUST000032,Jessica,Thompson,jessica.thompson893@example.com,444-721-2646,1948-07-28,Consumer,GEO000005,0,phone,True
CUST000033,Amanda,Guerrero,amanda.guerrero39@example.com,471-543-7993,2001-08-05,Consumer,GEO000049,40,email,False
CUST000034,Teresa,Johnson,teresa.johnson24@example.com,712-406-5965,1982-06-10,Consumer,GEO000020,0,email,False
CUST000035,Nicholas,Smith,nicholas.smith329@example.com,756-924-5937,2007-05-29,Consumer,GEO000008,29,phone,True
CUST000036,Andrea,Tyler,andrea.tyler200@example.com,526-547-9356,2002-01-11,Consumer,GEO000052,45,email,False
CUST000037,Maria,Young,maria.young495@example.com,465-193-9828,1965-07-26,Consumer,GEO000006,11,sms,False
CUST000038,Christine,Morris,christine.morris299@example.com,073-741-6724,1964-06-25,SmallBusiness,GEO000008,1,sms,True
CUST000039,Michelle,Thompson,michelle.thompson356@example.com,342-661-7979,1953-09-21,Consumer,GEO000057,10,sms,True
CUST000040,Barbara,Williams,barbara.williams564@example.com,688-680-5891,1963-11-23,Consumer,GEO000032,49,email,True
CUST000041,Janet,Harmon,janet.harmon560@example.com,135-290-9656,1970-04-01,SmallBusiness,GEO000028,9,sms,False
CUST000042,Brandon,Fox,brandon.fox934@example.com,101-438-8899,2003-01-07,Consumer,GEO000042,47,email,True
CUST000043,Jeremy,Reese,jeremy.reese480@example.com,375-679-8250,1944-06-26,Consumer,GEO000038,10,phone,True
CUST000044,Keith,Alvarez,keith.alvarez564@example.com,714-611-2545,1956-10-01,Consumer,GEO000037,19,email,False
CUST000045,Christopher,Strickland,christopher.strickland677@example.com,738-757-1775,1956-05-02,SmallBusiness,GEO000002,23,sms,False
CUST000046,Jesse,Palmer,jesse.palmer174@example.com,140-105-1238,1946-10-21,Consumer,GEO000034,9,sms,False
CUST000047,Craig,Rodriguez,craig.rodriguez666@example.com,282-586-7362,1980-08-07,Consumer,GEO000017,19,email,False
CUST000048,Joshua,Gordon,joshua.gordon861@example.com,266-093-7966,1941-03-24,SmallBusiness,GEO000049,4,email,True
CUST000049,Cynthia,Dougherty,cynthia.dougherty318@example.com,033-419-1825,1956-01-01,Consumer,GEO000031,0,sms,False
CUST000050,Michael,Williams,michael.williams178@example.com,537-147-8596,1968-08-26,SmallBusiness,GEO000008,21,email,True
CUST000051,Mitchell,Logan,mitchell.logan346@example.com,969-155-7924,1991-05-30,Premium,GEO000054,1,email,True
CUST000052,Jason,Camacho,jason.camacho275@example.com,991-251-3412,1991-10-04,SmallBusiness,GEO000018,10,email,False
CUST000053,Joseph,Boyd,joseph.boyd584@example.com,528-669-2966,2000-12-29,Consumer,GEO000017,0,phone,True
CUST000054,Sharon,Ellis,sharon.ellis863@example.com,278-282-7422,1995-07-06,Consumer,GEO000057,8,sms,True
CUST000055,Deborah,Maynard,deborah.maynard596@example.com,579-050-7236,1994-07-09,Consumer,GEO000047,0,email,False
CUST000056,Chelsea,Brown,chelsea.brown126@example.com,887-676-7721,1977-01-12,Consumer,GEO000052,34,phone,True
CUST000057,George,Mendoza,george.mendoza315@example.com,903-404-3842,1979-03-14,Consumer,GEO000040,28,email,True
CUST000058,Jessica,Morales,jessica.morales688@example.com,797-881-9148,1943-08-29,SmallBusiness,GEO000055,40,email,False
CUST000059,Frank,Parks,frank.parks330@example.com,580-783-6134,2007-12-23,Consumer,GEO000007,4,email,False
CUST000060,Noah,Henry,noah.henry586@example.com,074-517-1339,1995-02-08,Consumer,GEO000036,46,email,False
CUST000061,Veronica,Browning,veronica.browning693@example.com,596-292-3309,1941-07-23,Consumer,GEO000018,9,email,True
CUST000062,Danielle,Jones,danielle.jones329@example.com,584-982-5449,1999-12-20,Consumer,GEO000024,25,sms,True
CUST000063,Angela,Miller,angela.miller647@example.com,481-260-4223,1989-07-12,Consumer,GEO000015,73,email,False
CUST000064,Gabrielle,Franklin,gabrielle.franklin398@example.com,253-672-9466,1957-07-20,Consumer,GEO000013,17,sms,True
CUST000065,Megan,Jones,megan.jones135@example.com,711-684-5775,1995-11-04,Premium,GEO000027,23,email,True
CUST000066,Kimberly,Hill,kimberly.hill372@example.com,901-751-8636,1944-05-31,Consumer,GEO000056,9,email,True
CUST000067,Jeremy,Schultz,jeremy.schultz441@example.com,374-545-8929,1945-10-04,Consumer,GEO000039,72,email,True
CUST000068,Antonio,Kelley,antonio.kelley3@example.com,750-017-0127,1944-05-26,Consumer,GEO000021,10,sms,True
CUST000069,Leslie,Nguyen,leslie.nguyen891@example.com,706-324-2415,1949-03-02,Consumer,GEO000027,36,sms,False
CUST000070,Joseph,Vang,joseph.vang527@example.com,415-206-4361,1970-05-22,Premium,GEO000032,53,email,False
CUST000071,Jason,Schmidt,jason.schmidt37@example.com,103-712-9387,1952-10-31,Premium,GEO000015,0,email,True
CUST000072,Sherri,Chavez,sherri.chavez867@example.com,005-162-7136,1959-10-10,Consumer,GEO000032,30,email,False
CUST000073,Nancy,Jacobs,nancy.jacobs854@example.com,111-554-2622,1943-07-09,Premium,GEO000042,24,phone,True
CUST000074,Leonard,Garcia,leonard.garcia13@example.com,189-092-7532,1961-12-02,Consumer,GEO000015,7,email,True
CUST000075,Diana,Miles,diana.miles163@example.com,697-311-2196,1964-05-04,Consumer,GEO000036,70,sms,False
CUST000076,Randall,Farrell,randall.farrell364@example.com,565-234-1389,1981-07-16,Premium,GEO000043,28,email,True
CUST000077,Robin,Curtis,robin.curtis507@example.com,994-043-8983,1985-02-17,Consumer,GEO000032,23,email,False
CUST000078,Stephen,Mack,stephen.mack725@example.com,640-376-1379,2001-02-19,Consumer,GEO000018,0,sms,True
CUST000079,Joseph,Le,joseph.le424@example.com,180-552-6965,1957-03-01,Consumer,GEO000034,24,email,True
CUST000080,John,Lewis,john.lewis611@example.com,827-109-1043,2008-06-18,Consumer,GEO000048,22,email,True
CUST000081,Anna,Hayes,anna.hayes11@example.com,006-848-6661,1960-06-10,Consumer,GEO000014,73,phone,True
CUST000082,Jose,Perez,jose.perez658@example.com,889-241-4183,1949-05-16,Consumer,GEO000035,23,email,False
CUST000083,Brenda,Morgan,brenda.morgan914@example.com,285-691-4630,1981-10-16,Consumer,GEO000041,24,email,False
CUST000084,Rachael,Chavez,rachael.chavez526@example.com,316-179-9042,1967-08-13,Consumer,GEO000020,8,email,True
CUST000085,Reginald,Perry,reginald.perry455@example.com,102-027-5884,1973-02-13,Premium,GEO000024,12,email,True
CUST000086,Jeffrey,Davis,jeffrey.davis297@example.com,252-410-5648,1985-04-17,Consumer,GEO000054,33,sms,False
CUST000087,Whitney,Simmons,whitney.simmons953@example.com,149-177-8507,1948-11-14,SmallBusiness,GEO000022,0,email,False
CUST000088,William,Ortega,william.ortega34@example.com,925-241-9138,1985-03-23,Consumer,GEO000036,46,phone,True
CUST000089,Christopher,Brooks,christopher.brooks287@example.com,000-307-5622,1945-10-08,Consumer,GEO000009,47,sms,True
CUST000090,Brandon,Hernandez,brandon.hernandez139@example.com,086-353-6541,1945-09-28,Consumer,GEO000056,11,phone,True
CUST000091,Daniel,Leblanc,daniel.leblanc865@example.com,951-802-3806,1957-07-27,Premium,GEO000036,30,phone,True
CUST000092,Courtney,Jones,courtney.jones482@example.com,174-451-8705,2004-05-26,Consumer,GEO000046,55,phone,True
CUST000093,Laura,Decker,laura.decker921@example.com,349-493-7597,1977-07-16,SmallBusiness,GEO000037,21,sms,True
CUST000094,Robert,Davis,robert.davis664@example.com,383-206-0385,1954-07-21,Consumer,GEO000022,18,email,True
CUST000095,Bryan,Davis,bryan.davis556@example.com,050-641-3836,1974-03-23,Consumer,GEO000021,19,email,True
CUST000096,Patrick,Rodgers,patrick.rodgers517@example.com,702-410-3865,1988-07-15,Consumer,GEO000043,28,sms,True
CUST000097,Wendy,Cain,wendy.cain203@example.com,719-182-6199,1990-07-29,Consumer,GEO000052,13,email,False
CUST000098,Allison,Hawkins,allison.hawkins561@example.com,062-344-5655,1995-11-24,Consumer,GEO000008,0,sms,True
CUST000099,Tasha,Willis,tasha.willis684@example.com,743-132-9121,1964-11-01,Consumer,GEO000051,28,email,True
CUST000100,Michelle,Hoffman,michelle.hoffman964@example.com,277-561-8537,2001-08-17,Consumer,GEO000050,15,phone,True
CUST000101,Alexander,Rivera,alexander.rivera548@example.com,474-112-4903,2002-10-25,Consumer,GEO000007,8,email,True
CUST000102,Jennifer,Martinez,jennifer.martinez937@example.com,521-356-8044,1998-12-25,Consumer,GEO000007,3,phone,False
CUST000103,Erin,Gomez,erin.gomez943@example.com,206-788-3171,1955-07-15,Consumer,GEO000042,23,email,True
CUST000104,Amanda,Ortega,amanda.ortega522@example.com,210-032-3651,1970-09-23,Consumer,GEO000051,0,email,True
CUST000105,Joseph,Christensen,joseph.christensen439@example.com,994-101-3721,1989-01-27,Consumer,GEO000024,31,phone,False
CUST000106,Danielle,Parrish,danielle.parrish143@example.com,510-702-9667,1961-02-22,Consumer,GEO000039,8,phone,False
CUST000107,Daniel,Griffith,daniel.griffith268@example.com,066-253-2447,2004-08-10,Consumer,GEO000060,12,sms,False
CUST000108,Ryan,Schmitt,ryan.schmitt878@example.com,209-993-4768,1965-07-07,Consumer,GEO000020,17,phone,True
CUST000109,Shawn,Burke,shawn.burke139@example.com,701-462-6383,1993-08-21,Premium,GEO000014,74,email,True
CUST000110,Stephanie,Bell,stephanie.bell397@example.com,806-578-7598,1978-01-25,Consumer,GEO000060,77,phone,False
CUST000111,Nancy,Lane,nancy.lane698@example.com,564-205-9304,1960-06-17,Consumer,GEO000017,71,email,True
CUST000112,Jose,Lewis,jose.lewis241@example.com,078-593-2133,1999-09-05,Premium,GEO000029,25,sms,False
CUST000113,Vincent,Douglas,vincent.douglas973@example.com,480-396-5223,1985-01-09,Consumer,GEO000027,140,email,False
CUST000114,Guy,Walker,guy.walker649@example.com,955-905-9929,1957-02-28,Consumer,GEO000032,12,email,True
CUST000115,Rita,Rodriguez,rita.rodriguez29@example.com,378-427-0103,1976-05-24,SmallBusiness,GEO000017,17,sms,True
CUST000116,Monica,Bruce,monica.bruce247@example.com,930-870-5932,2001-04-24,SmallBusiness,GEO000041,43,sms,True
CUST000117,Kenneth,Richardson,kenneth.richardson739@example.com,525-002-9218,1958-10-01,Consumer,GEO000042,28,email,True
CUST000118,Danielle,Farmer,danielle.farmer862@example.com,515-691-5452,1962-03-30,Consumer,GEO000013,29,phone,False
CUST000119,Chelsea,Andrews,chelsea.andrews926@example.com,267-528-9539,1988-01-11,Consumer,GEO000029,9,sms,False
CUST000120,Eric,Aguirre,eric.aguirre850@example.com,264-422-0969,1977-05-22,SmallBusiness,GEO000004,22,email,True
CUST000121,Kathryn,Bruce,kathryn.bruce75@example.com,029-593-9172,1974-10-21,SmallBusiness,GEO000014,12,sms,False
CUST000122,Amber,Villegas,amber.villegas729@example.com,513-552-1570,1947-08-25,Consumer,GEO000060,6,email,True
CUST000123,Kimberly,Cardenas,kimberly.cardenas110@example.com,433-154-1006,1944-03-21,Consumer,GEO000031,14,email,False
CUST000124,Alyssa,Austin,alyssa.austin77@example.com,762-676-5861,1964-02-18,Consumer,GEO000038,0,sms,True
CUST000125,Aaron,Day,aaron.day691@example.com,793-271-0405,2001-10-26,Consumer,GEO000054,39,email,False
CUST000126,Mario,Johnson,mario.johnson478@example.com,411-526-2181,1968-07-02,Consumer,GEO000043,3,email,False
CUST000127,Andrew,Hickman,andrew.hickman647@example.com,599-706-2962,1988-07-21,Consumer,GEO000048,23,sms,True
CUST000128,Sarah,Gallegos,sarah.gallegos850@example.com,015-336-8844,2005-03-25,Consumer,GEO000043,21,email,True
CUST000129,Natasha,Adams,natasha.adams69@example.com,431-069-8720,1982-11-11,Consumer,GEO000030,27,phone,False
CUST000130,Marie,White,marie.white527@example.com,506-149-7310,1973-08-18,Consumer,GEO000038,8,sms,True
CUST000131,Kyle,Park,kyle.park833@example.com,324-171-4677,1959-08-02,Consumer,GEO000018,8,email,False
CUST000132,Brian,Parker,brian.parker440@example.com,418-625-6527,1945-11-18,Consumer,GEO000054,53,sms,False
CUST000133,Natalie,Morgan,natalie.morgan523@example.com,047-743-4902,1954-05-25,Consumer,GEO000011,11,email,False
CUST000134,Stacey,Smith,stacey.smith497@example.com,115-869-3806,2002-08-11,SmallBusiness,GEO000054,16,sms,True
CUST000135,Christopher,Kane,christopher.kane906@example.com,868-793-7416,1949-11-16,Consumer,GEO000053,18,email,False
CUST000136,Todd,Knight,todd.knight50@example.com,089-899-2172,1997-10-20,Consumer,GEO000009,13,phone,False
CUST000137,Chad,Morales,chad.morales877@example.com,233-206-1632,2006-12-16,Consumer,GEO000043,33,email,True
CUST000138,Kathleen,Thomas,kathleen.thomas815@example.com,945-116-8685,1975-12-31,Consumer,GEO000060,31,sms,True
CUST000139,Katie,Schultz,katie.schultz811@example.com,487-099-8616,1956-03-26,Consumer,GEO000035,20,email,True
CUST000140,David,Johnson,david.johnson412@example.com,229-991-1914,1961-04-18,Consumer,GEO000021,13,email,False
CUST000141,Thomas,Reese,thomas.reese515@example.com,856-467-9970,1991-01-12,Consumer,GEO000053,19,email,True
CUST000142,Andrea,Lewis,andrea.lewis369@example.com,246-299-6065,1978-03-05,Consumer,GEO000031,24,sms,True
CUST000143,Joseph,Barnes,joseph.barnes252@example.com,307-450-5444,1954-11-20,Consumer,GEO000008,12,phone,True
CUST000144,Monique,Peterson,monique.peterson874@example.com,713-247-5469,1948-11-23,Consumer,GEO000015,34,email,False
CUST000145,Rodney,Wood,rodney.wood505@example.com,137-367-8508,1965-11-19,Consumer,GEO000041,0,email,True
CUST000146,Jason,Griffith,jason.griffith722@example.com,214-862-8902,1989-11-15,Consumer,GEO000028,60,email,False
CUST000147,Amber,Frank,amber.frank101@example.com,330-307-0534,1996-02-06,Consumer,GEO000014,57,email,False
CUST000148,Jessica,Bradley,jessica.bradley788@example.com,578-610-3579,1994-03-01,Consumer,GEO000048,18,phone,False
CUST000149,James,Miller,james.miller658@example.com,727-985-5241,1950-03-16,Consumer,GEO000008,25,phone,False
CUST000150,Larry,Williams,larry.williams996@example.com,406-029-3333,1942-12-26,Consumer,GEO000014,20,phone,True
CUST000151,Wanda,Moore,wanda.moore134@example.com,468-007-2290,2007-02-03,Consumer,GEO000028,0,email,False
CUST000152,Debra,Williamson,debra.williamson539@example.com,349-446-6574,1956-07-17,SmallBusiness,GEO000003,19,email,True
CUST000153,Samuel,Craig,samuel.craig511@example.com,374-896-9108,1988-01-25,SmallBusiness,GEO000024,23,sms,False
CUST000154,Zachary,Nelson,zachary.nelson538@example.com,589-944-1715,1970-07-04,SmallBusiness,GEO000055,0,email,True
CUST000155,David,Stanley,david.stanley55@example.com,454-443-2830,1984-10-08,Consumer,GEO000057,29,sms,False
CUST000156,Jeffrey,Tucker,jeffrey.tucker473@example.com,965-207-4466,1992-07-19,Consumer,GEO000053,8,email,False
CUST000157,Matthew,Ramos,matthew.ramos299@example.com,609-935-3875,1971-06-04,Consumer,GEO000020,44,email,True
CUST000158,Brianna,Nelson,brianna.nelson617@example.com,842-824-1724,2005-05-26,Consumer,GEO000004,27,phone,False
CUST000159,Jerry,Fischer,jerry.fischer232@example.com,825-135-3465,1948-04-26,Consumer,GEO000049,33,email,True
CUST000160,Jeffrey,Wilson,jeffrey.wilson435@example.com,549-471-7099,1941-12-29,Consumer,GEO000023,0,phone,True
CUST000161,Chad,Jordan,chad.jordan619@example.com,917-381-6846,1974-06-30,Consumer,GEO000045,29,email,True
CUST000162,Crystal,Campbell,crystal.campbell64@example.com,022-356-9725,1997-06-15,Consumer,GEO000008,30,email,True
CUST000163,Jeremy,Gregory,jeremy.gregory786@example.com,217-525-0074,1942-11-04,Consumer,GEO000041,3,email,True
CUST000164,Rebecca,Tucker,rebecca.tucker715@example.com,329-271-2966,1958-12-09,Consumer,GEO000036,0,email,False
CUST000165,Michele,Estrada,michele.estrada58@example.com,667-600-8350,1959-06-17,Consumer,GEO000056,12,sms,True
CUST000166,Chad,Williams,chad.williams65@example.com,583-003-3542,1980-07-28,Premium,GEO000007,15,email,True
CUST000167,John,Foster,john.foster849@example.com,168-942-1044,1966-09-08,Consumer,GEO000025,0,sms,False
CUST000168,Elizabeth,Greene,elizabeth.greene283@example.com,789-856-2575,1960-12-26,Consumer,GEO000060,0,phone,False
CUST000169,Jason,Smith,jason.smith860@example.com,326-033-2309,1996-10-31,Consumer,GEO000024,9,email,True
CUST000170,David,Turner,david.turner499@example.com,821-506-4890,2006-03-21,Consumer,GEO000040,22,email,False
CUST000171,Selena,Clark,selena.clark342@example.com,901-001-6761,1946-04-18,Consumer,GEO000010,19,email,True
CUST000172,Ashley,Taylor,ashley.taylor274@example.com,847-230-4618,1944-08-10,Consumer,GEO000044,44,sms,True
CUST000173,Thomas,Scott,thomas.scott658@example.com,499-261-8914,1959-07-15,Consumer,GEO000017,18,sms,True
CUST000174,Kristen,Murphy,kristen.murphy110@example.com,117-393-4835,1998-09-12,Consumer,GEO000035,27,email,False
CUST000175,Lindsey,Smith,lindsey.smith402@example.com,642-087-3753,1982-01-14,Consumer,GEO000053,9,sms,True
CUST000176,James,Burgess,james.burgess346@example.com,001-197-2181,1966-09-02,SmallBusiness,GEO000040,0,email,True
CUST000177,Collin,Thompson,collin.thompson154@example.com,143-744-7012,1974-04-03,Consumer,GEO000029,5,email,False
CUST000178,Ryan,James,ryan.james353@example.com,045-561-1002,1941-10-29,Consumer,GEO000012,32,email,True
CUST000179,Rodney,Padilla,rodney.padilla528@example.com,255-794-1552,1999-04-04,Consumer,GEO000021,27,phone,True
CUST000180,Stuart,Mason,stuart.mason677@example.com,166-746-7621,1966-07-31,Consumer,GEO000051,30,email,False
CUST000181,Jessica,Whitaker,jessica.whitaker87@example.com,202-169-7972,1966-09-20,Consumer,GEO000013,0,email,False
CUST000182,Emily,Drake,emily.drake871@example.com,965-902-7716,1970-10-05,Consumer,GEO000040,18,email,True
CUST000183,Tracey,Jones,tracey.jones877@example.com,701-450-8993,1943-07-26,Consumer,GEO000030,42,sms,True
CUST000184,Corey,Hensley,corey.hensley691@example.com,588-916-3756,1955-10-26,Consumer,GEO000020,73,email,False
CUST000185,Richard,Williams,richard.williams923@example.com,289-002-8772,1954-07-18,Consumer,GEO000043,21,email,True
CUST000186,Matthew,Smith,matthew.smith428@example.com,175-354-0838,1966-05-11,Consumer,GEO000022,40,email,True
CUST000187,Michelle,Morse,michelle.morse820@example.com,663-177-9717,1953-02-03,SmallBusiness,GEO000018,25,sms,True
CUST000188,John,Atkins,john.atkins726@example.com,751-701-6608,1985-06-14,Premium,GEO000032,22,email,True
CUST000189,James,Johnston,james.johnston562@example.com,801-994-8837,1969-11-17,SmallBusiness,GEO000046,16,phone,False
CUST000190,Shane,Berry,shane.berry180@example.com,550-375-8997,1976-10-12,Consumer,GEO000052,23,email,True
CUST000191,Robert,Mckinney,robert.mckinney557@example.com,571-130-5548,1944-02-06,Consumer,GEO000038,37,email,True
CUST000192,Joshua,Butler,joshua.butler900@example.com,851-027-2614,1985-06-26,Consumer,GEO000040,39,phone,True
CUST000193,John,Wilson,john.wilson983@example.com,933-163-7351,1961-04-23,SmallBusiness,GEO000048,7,phone,True
CUST000194,Sandra,Smith,sandra.smith448@example.com,609-177-9827,1942-09-04,Consumer,GEO000017,0,email,True
CUST000195,Scott,Nguyen,scott.nguyen248@example.com,080-869-7829,1977-05-25,Consumer,GEO000016,9,phone,False
CUST000196,Michelle,Solis,michelle.solis747@example.com,221-699-5866,1992-06-19,Consumer,GEO000030,24,sms,False
CUST000197,Andrea,Montgomery,andrea.montgomery76@example.com,934-654-7226,1964-03-18,Consumer,GEO000038,17,email,True
CUST000198,Brent,Collier,brent.collier151@example.com,984-858-3339,2004-04-27,Consumer,GEO000039,30,phone,True
CUST000199,Yvette,Gillespie,yvette.gillespie561@example.com,452-288-5158,1942-04-25,Consumer,GEO000010,0,sms,True
CUST000200,Mary,Davis,mary.davis989@example.com,799-684-6081,2002-06-22,Consumer,GEO000047,1,email,True
CUST000201,Tanya,Richard,tanya.richard329@example.com,062-003-4244,1981-12-20,Premium,GEO000022,23,sms,True
CUST000202,Sara,Sanchez,sara.sanchez443@example.com,204-380-5719,1991-11-20,Consumer,GEO000053,52,email,True
CUST000203,Melinda,Chapman,melinda.chapman322@example.com,838-638-4066,2001-04-28,Premium,GEO000044,15,email,False
CUST000204,Gabriel,Warren,gabriel.warren440@example.com,658-004-3973,1963-06-04,Consumer,GEO000059,15,phone,False
CUST000205,Todd,Foster,todd.foster8@example.com,598-933-4721,2003-05-02,Premium,GEO000038,46,sms,True
CUST000206,Jason,Collins,jason.collins594@example.com,228-160-6484,1996-11-24,Consumer,GEO000032,41,sms,False
CUST000207,Richard,Morgan,richard.morgan596@example.com,229-405-7202,2002-04-18,SmallBusiness,GEO000012,9,sms,True
CUST000208,Brian,Cook,brian.cook315@example.com,590-947-9851,1958-05-30,Consumer,GEO000024,38,sms,True
CUST000209,Nicholas,Jackson,nicholas.jackson264@example.com,583-281-8268,1995-09-06,Consumer,GEO000052,12,email,False
CUST000210,Tricia,Dixon,tricia.dixon761@example.com,861-533-5554,1991-10-22,Consumer,GEO000023,14,phone,True
CUST000211,Joseph,Wilson,joseph.wilson188@example.com,398-780-1573,1980-10-04,Consumer,GEO000004,9,sms,True
CUST000212,Kristen,Hicks,kristen.hicks47@example.com,993-056-1648,1955-04-13,Consumer,GEO000015,7,sms,False
CUST000213,Spencer,Bullock,spencer.bullock41@example.com,408-588-7704,1992-01-28,Consumer,GEO000036,25,email,True
CUST000214,Rodney,Bailey,rodney.bailey880@example.com,358-112-8801,1942-05-28,SmallBusiness,GEO000038,0,email,False
CUST000215,Susan,Luna,susan.luna364@example.com,336-138-6120,1963-09-30,Consumer,GEO000060,26,email,True
CUST000216,Wendy,Fuentes,wendy.fuentes102@example.com,750-110-2481,1989-12-07,Consumer,GEO000057,25,email,False
CUST000217,Angela,Briggs,angela.briggs878@example.com,934-667-6650,1996-12-21,Consumer,GEO000032,0,email,True
CUST000218,Jennifer,Young,jennifer.young149@example.com,618-091-9015,1982-11-03,Premium,GEO000034,16,sms,True
CUST000219,Eric,Thomas,eric.thomas336@example.com,814-491-4766,1970-01-31,Premium,GEO000049,0,phone,True
CUST000220,Kenneth,Gonzalez,kenneth.gonzalez21@example.com,072-832-6842,1999-06-17,Consumer,GEO000003,8,email,False
CUST000221,Tanya,Morrison,tanya.morrison678@example.com,450-882-1009,1969-08-21,SmallBusiness,GEO000036,60,email,True
CUST000222,Beth,Wolf,beth.wolf698@example.com,968-814-3536,1993-10-19,Consumer,GEO000029,19,sms,False
CUST000223,Amy,Rios,amy.rios756@example.com,822-239-4312,1990-03-03,Premium,GEO000047,19,email,True
CUST000224,Julie,Thompson,julie.thompson263@example.com,908-781-4141,2003-09-25,SmallBusiness,GEO000049,10,phone,True
CUST000225,Brian,Mejia,brian.mejia328@example.com,397-552-3149,1990-08-03,Consumer,GEO000040,0,email,True
CUST000226,Breanna,Snyder,breanna.snyder937@example.com,135-775-9492,1991-09-30,Consumer,GEO000040,14,email,True
CUST000227,Wesley,Webster,wesley.webster820@example.com,995-562-0533,1944-06-06,Consumer,GEO000042,28,email,False
CUST000228,Melissa,Wolf,melissa.wolf38@example.com,645-257-7754,1995-06-27,Consumer,GEO000035,32,phone,True
CUST000229,Eric,Cole,eric.cole691@example.com,781-291-4283,1947-12-23,Premium,GEO000014,0,email,False
CUST000230,Susan,Glass,susan.glass812@example.com,411-080-9969,1978-03-13,Consumer,GEO000018,6,sms,True
CUST000231,Christopher,Cunningham,christopher.cunningham559@example.com,308-488-7256,1966-12-15,Consumer,GEO000045,37,email,True
CUST000232,Jacob,Reid,jacob.reid639@example.com,394-278-8165,2005-05-11,SmallBusiness,GEO000038,14,email,False
CUST000233,Brooke,Weber,brooke.weber1@example.com,803-928-2722,1989-08-17,Consumer,GEO000015,40,phone,False
